name,kind,first_reference,source,english_equivalent,source_form,greek_form,name_meaning,equivalent_source,equivalent_confidence,footnote
Ziphites,people_group,1 Samuel 23:19,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Abigaia,transliterated_form,1 Samuel 25:3,ot,Abigail,Abigaia,αβιγαια,the father's joy,manual/standard English equivalent,manual,Standard English equivalent: Abigail. Source form: Abigaia. Greek form: αβιγαια. Name meaning: the father's joy. Equivalent source: manual/standard English equivalent.
Iezraēl,transliterated_form,1 Samuel 25:43,ot,Jezreel,Iezraēl,ιεζραελ,God sows,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Jezreel. Source form: Iezraēl. Greek form: ιεζραελ. Name meaning: God sows. Equivalent source: UKJV same-reference name-order alignment.
Abessa,transliterated_form,1 Samuel 26:6,ot,Abishai,Abessa,αβεσσα,the present of my father,manual/standard English equivalent,manual,Standard English equivalent: Abishai. Source form: Abessa. Greek form: αβεσσα. Name meaning: the present of my father. Equivalent source: manual/standard English equivalent.
Sarouia,transliterated_form,1 Samuel 26:6,ot,Zeruiah,Sarouia,σαρουιας,pain or tribulation of the Lord,manual/standard English equivalent,manual,Standard English equivalent: Zeruiah. Source form: Sarouia. Greek form: σαρουιας. Name meaning: pain or tribulation of the Lord. Equivalent source: manual/standard English equivalent.
Ammach,person,1 Samuel 27:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Jezreelite,people_group,1 Samuel 27:3,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Amalēkite,transliterated_form,1 Samuel 27:8,ot,Amalekite,Amalēkite,αμαληκιτην,a people that licks up,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Amalekite. Source form: Amalēkite. Greek form: αμαληκιτην. Name meaning: a people that licks up. Equivalent source: UKJV same-reference name-order alignment.
Iesmega,people_group,1 Samuel 27:10,ot,,,,,,,Ethnic or group proper noun; retained as a people-name rather than translated as ordinary vocabulary.
Sōman,transliterated_form,1 Samuel 28:4,ot,Soman,Sōman,σωμαν,meaning uncertain/not securely attested in the consulted name dictionaries,normalized source form,fallback,Standard English equivalent: Soman. Source form: Sōman. Greek form: σωμαν. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: normalized source form.
Gelboue,place,1 Samuel 28:4,ot,Gilboa,Gelboue,γελβουε,revolution of inquiry,UKJV same-reference name-order alignment,aligned,Place-name meaning: Gilboa — revolution of inquiry. Standard English equivalent: Gilboa. Source form: Gelboue. Greek form: γελβουε. Equivalent source: UKJV same-reference name-order alignment.
Aendōr,transliterated_form,1 Samuel 28:7,ot,Endor,Aendōr,αενδωρ,"fountain, eye of generation, or of habitation",UKJV same-reference name-order alignment,aligned,"Standard English equivalent: Endor. Source form: Aendōr. Greek form: αενδωρ. Name meaning: fountain, eye of generation, or of habitation. Equivalent source: UKJV same-reference name-order alignment."
Amalēkites,transliterated_form,1 Samuel 30:18,ot,Amalekite,Amalēkites,αμαληκιται,a people that licks up,UKJV same-reference name-order alignment,aligned,Standard English equivalent: Amalekite. Source form: Amalēkites. Greek form: αμαληκιται. Name meaning: a people that licks up. Equivalent source: UKJV same-reference name-order alignment.
Saphi,place,1 Samuel 30:28,ot,Siphmoth,Saphi,σαφι,meaning uncertain/not securely attested in the consulted name dictionaries,Logos Bible Knowledgebase alias,alias,Place-name meaning: Siphmoth — meaning uncertain/not securely attested in the consulted name dictionaries. Standard English equivalent: Siphmoth. Source form: Saphi. Greek form: σαφι. Equivalent source: Logos Bible Knowledgebase alias.
Ieramēli,transliterated_form,1 Samuel 30:29,ot,Jerahmeelite,Ieramēli,ιεραμηλι,"the mercy, or the beloved, of God",UKJV same-reference name-order alignment,aligned,"Standard English equivalent: Jerahmeelite. Source form: Ieramēli. Greek form: ιεραμηλι. Name meaning: the mercy, or the beloved, of God. Equivalent source: UKJV same-reference name-order alignment."
Galaaditēs,transliterated_form,1 Samuel 31:11,ot,Gileadites,Galaaditēs,γαλααδιτιδος,the heap or mass of testimony,manual/standard English equivalent,manual,Standard English equivalent: Gileadites. Source form: Galaaditēs. Greek form: γαλααδιτιδος. Name meaning: the heap or mass of testimony. Equivalent source: manual/standard English equivalent.
Asahel,person,2 Samuel 2:18,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Amnon,person,2 Samuel 3:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Abital,person,2 Samuel 3:4,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Ial,person,2 Samuel 3:7,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
Sellēs,transliterated_form,2 Samuel 3:15,ot,Selles,Sellēs,σελλης,meaning uncertain/not securely attested in the consulted name dictionaries,normalized source form,fallback,Standard English equivalent: Selles. Source form: Sellēs. Greek form: σελλης. Name meaning: meaning uncertain/not securely attested in the consulted name dictionaries. Equivalent source: normalized source form.
Baana,person,2 Samuel 4:2,ot,,,,,,,Source text carries this as a personal name; retained as a proper noun rather than translated as ordinary vocabulary.
